Category,Subcategory,Product Group,Product,Variant
Electronics,Computers,Laptops,Laptops,13-inch
Electronics,Computers,Laptops,Laptops,15-inch
Electronics,Computers,Desktops,Desktops,Mini
Electronics,Computers,Desktops,Desktops,Tower
Electronics,Phones,Smartphones,Smartphones,128GB
Electronics,Phones,Smartphones,Smartphones,256GB
Home,Kitchen,Coffee Machines,Coffee Machines,Standard
Home,Kitchen,Coffee Machines,Coffee Machines,Pro
Home,Kitchen,Kettles,Kettles,Black
Home,Kitchen,Kettles,Kettles,White
